Year,rate,averageRating,Wikipedia movie ID,Freebase movie ID,Movie name,Movie box office revenue,Movie runtime,Movie languages,Movie countries,Movie genres,Movie release year,startYear,Primary Country,Adjusted_Revenue,Log_Revenue
1991.0,1.8994692965884328,7.4,18593635,/m/04g0_b2,Together alone,110505.0,87.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['LGBT', 'Indie', 'Gay', 'Gay Interest', 'Drama', 'Black-and-white', 'Gay Themed']",1991,1991,United States of America,209900.85461950477,11.612825097108361
1997.0,1.6110332157800056,6.6,1176717,/m/04dp5j,Gummo,16799.0,95.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Ensemble Film', 'Indie', 'Experimental film', 'Drama', 'Teen', 'Avant-garde']",1997,1997,United States of America,27063.746991888314,9.72913416539135
1955.0,9.63908518803533,7.1,28794755,/m/0ddgn7r,New york confidential,1300000.0,87.0,{},['United States of America'],"['Crime Fiction', 'Drama']",1955,1955,United States of America,12530810.744445927,14.077875591662238
2006.0,1.281463427791386,7.0,8633676,/m/027bw37,The flying scotsman,1258900.0,96.0,"{""/m/02h40lc"": ""English Language""}","['United Kingdom', 'Germany']","['Sports', 'Drama', 'Indie', 'World cinema']",2006,2006,United Kingdom,1613234.3092465757,14.045749676098303
2010.0,1.1867594582402414,7.7,28480541,/m/0crc9xr,The tillman story,798940.0,94.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['History', 'Sports', 'War film', 'Political cinema', 'Social issues', 'Documentary']",2010,2010,United States of America,948149.6015664585,13.591042379719056
2007.0,1.246559754660881,6.7,8448026,/m/0273rqs,Eagle vs shark,1298037.0,93.0,"{""/m/02h40lc"": ""English Language""}",['New Zealand'],"['Romantic comedy', 'Indie', 'World cinema', 'Comdedy', 'Comedy', 'Romance Film']",2007,2007,New Zealand,1618080.684260746,14.076364451626581
2008.0,1.200924619133797,8.5,15815398,/m/03nwq57,Dear zachary: a letter to a son about his father,18334.0,93.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Crime Fiction', 'History', 'Biography', 'Law & Crime', 'Documentary']",2008,2008,United States of America,22017.751967199034,9.816567080505427
2005.0,1.3224702574807106,6.8,2387927,/m/078fqr,The chumscrubber,351401.0,102.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Ensemble Film', 'Indie', 'Comedy-drama', 'Satire', 'Comedy', 'Black comedy', 'Teen']",2005,2005,United States of America,464717.37094897917,12.769686146238573
2009.0,1.2057476095720854,6.7,25183229,/m/09g9xh2,Hadewijch,62468.0,105.0,"{""/m/064_8sq"": ""French Language""}",['France'],"['Drama', 'World cinema']",2009,2009,France,75320.64167474903,11.042425712675803
2002.0,1.4366551352137191,7.8,2542108,/m/07lzw_,Bus 174,217201.0,122.0,"{""/m/05zjd"": ""Portuguese Language"", ""/m/02zj58"": ""Brazilian Portuguese""}",['Brazil'],"['Crime Fiction', 'World cinema', 'Documentary']",2002,2002,Brazil,312042.932023555,12.288583075102654
2004.0,1.3674342462350548,7.1,21064505,/m/05c4fzt,Take out,69816.0,87.0,"{""/m/0653m"": ""Standard Mandarin"", ""/m/02h40lc"": ""English Language"", ""/m/06nm1"": ""Spanish Language""}",['United States of America'],"['Drama', 'Indie']",2004,2004,United States of America,95468.78933514659,11.15363281210484
1993.0,1.790431988489427,7.5,1040736,/m/040s2y,Stalingrad,152972.0,132.0,"{""/m/04306rv"": ""German Language"", ""/m/06b_j"": ""Russian Language""}","['Sweden', 'Germany']","['Drama', 'World cinema', 'War film']",1993,1993,Sweden,273885.96214320464,11.938016714213571
1991.0,1.8994692965884328,7.2,15248380,/m/03hn516,A woman's tale,405137.0,93.0,"{""/m/02h40lc"": ""English Language""}",['Australia'],['Drama'],1991,1991,Australia,769545.2924119479,12.911983028790475
2011.0,1.1499607153490712,6.7,26889567,/m/0djb3vw,Restless,163265.0,91.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Romantic drama', 'Romance Film', 'Drama', 'Indie']",2011,2011,United States of America,187748.3361914661,12.003136051524452
1985.0,2.402628140198537,6.9,9236773,/m/02816s8,Eleni,305102.0,114.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Historical fiction', 'Drama', 'Political drama', 'War film']",1985,1985,United States of America,733046.6508308541,12.628404703498111
1996.0,1.6480869797429456,7.0,1181830,/m/04f46y,Citizen ruth,285112.0,102.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Indie', 'Political satire', 'Satire', 'Drama', 'Comedy', 'Political cinema']",1996,1996,United States of America,469889.3749684707,12.56064087189698
2006.0,1.281463427791386,6.6,6011641,/m/0fkhml,Sherrybaby,622806.0,96.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Indie']",2006,2006,United States of America,798103.1116090419,13.34199195844208
1941.0,17.5821050244593,8.3,5224,/m/01lsl,Citizen kane,1585634.0,119.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Film à clef', 'Epic', 'Black-and-white', 'Mystery', 'Period piece', 'Drama', 'Political drama']",1941,1941,United States of America,27878783.518353496,14.276495515977208
1987.0,2.2758970868162605,7.5,343404,/m/01ydpv,Withnail and i,1544889.0,107.0,"{""/m/04h9h"": ""Latin Language"", ""/m/02h40lc"": ""English Language""}","['England', 'United Kingdom']","['Buddy film', 'Indie', 'Cult', 'Period piece', 'Drama', 'Comedy', 'Black comedy']",1987,1987,England,3516008.374554486,14.250463268368323
2007.0,1.246559754660881,7.2,13370664,/m/03c34b9,Music within,153205.0,93.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Biography', 'Indie', 'Musical', 'Drama', 'Comedy', 'War film', 'Romance Film']",2007,2007,United States of America,190979.18721282028,11.93953870001258
2004.0,1.3674342462350548,6.8,7927833,/m/026kcwj,Keane,394390.0,94.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Indie']",2004,2004,United States of America,539302.3923726432,12.885098081977633
2006.0,1.281463427791386,7.7,6527176,/m/0g8zn3,Paprika,944915.0,90.0,"{""/m/03_9r"": ""Japanese Language"", ""/m/02h40lc"": ""English Language""}","['Japan', 'Italy']","['Thriller', 'Science Fiction', 'Japanese Movies', 'Animation', 'Mystery', 'Anime', 'Fantasy']",2006,2006,Japan,1210874.0148714974,13.75885131363614
1996.0,1.6480869797429456,7.1,12426930,/m/02w542r,Bandwagon,22189.0,103.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Ensemble Film', 'Musical comedy', 'Drama', 'Comedy', 'Indie']",1996,1996,United States of America,36569.40199351622,10.007397015926639
2003.0,1.404354970883401,6.6,7766450,/m/0kvgt0,Flywheel,37000.0,120.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Christian film', 'Indie', 'Inspirational Drama', 'Family Drama', 'Drama', 'Family Film']",2003,2003,United States of America,51961.13392268584,10.518700218288165
1993.0,1.790431988489427,7.0,7693284,/m/0kvfby,Wrestling ernest hemingway,278720.0,123.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Romance Film', 'Buddy film']",1993,1993,United States of America,499029.20383177313,12.537966560469918
2005.0,1.3224702574807106,7.2,935425,/m/03rgp1,Manderlay,674918.0,139.0,"{""/m/02h40lc"": ""English Language""}","['United States of America', 'Spain', 'Denmark', 'Sweden', 'Switzerland', 'Israel', 'France', 'Argentina', 'United Kingdom', 'Germany', 'Netherlands']","['Melodrama', 'Indie', 'World cinema', 'Experimental film', 'Period piece', 'Drama', 'Avant-garde']",2005,2005,United States of America,892558.9812383662,13.42234796265409
1990.0,1.979247007045148,6.7,14106445,/m/03ctw2d,Coupe de ville,715983.0,99.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Road movie', 'Comedy', 'Adventure']",1990,1990,United States of America,1417107.2098452062,13.481413099324383
2004.0,1.3674342462350548,6.8,1823450,/m/05zsld,House of d,388532.0,96.0,"{""/m/064_8sq"": ""French Language"", ""/m/02h40lc"": ""English Language""}",['United States of America'],"['Drama', 'Period piece', 'Coming of age', 'Indie', 'Comedy']",2004,2004,United States of America,531291.9625581984,12.870133387267407
1997.0,1.6110332157800056,7.1,4110734,/m/0bjp8w,Henry fool,1338335.0,137.0,"{""/m/02h40lc"": ""English Language""}",['United States of America'],"['Melodrama', 'Indie', 'Comedy-drama', 'Drama', 'Comedy', 'Black comedy', 'Romance Film', 'Domestic Comedy']",1997,1997,United States of America,2156102.138840934,14.106937609220925
